id;lat;lng;name
1;49.805314616094;23.982380092144;вул. Наукова
2;49.804805529532;23.986967861653;вул. Василя Симоненка
3;49.805512147906;23.985778808594;вул. Василя Симоненка
4;49.809342908903;23.982792437077;вул. Щирецька
5;49.809631247196;23.98250836134;вул. Щирецька
6;49.813249481299;23.984864532947;Скнилівок
7;49.8135757446289;23.9847164154053;Скнилівок
8;49.819344702285;23.987819135189;Кульпарків
9;49.818542517476;23.987784981728;Кульпарків
10;49.82555849633;23.990446209908;вул. Антоновича
11;49.82985305786133;23.99814796447754;вул. Максима Залізняка
12;49.83448028564453;24.006872177124023;вул. Степана Бандери
13;49.837520599365234;24.012874603271484;пл. Святого Юра
14;49.836353302002;24.0158672332764;вул. Устияновича
15;49.83979415893555;24.022354125976562;Університет ім. Івана Франка
16;49.835619237611;24.00582575798;вул. Степана Бандери
17;49.833426046227;24.001364349761;пл. Липнева
18;49.83063298626;23.995478212833;вул. Смаль-Стоцького
19;49.829166955312;23.992228197326;вул. Копистинського
360;49.787580666459;24.014610084721;Автовокзал
361;49.7873229980469;24.017053604126;Автовокзал
362;49.791455721513;24.015457451343;вул. Михайла Максимовича
363;49.79249954223633;24.016159057617188;вул. Михайла Максимовича
364;49.797994731844;24.017358660698;вул. Скорини
365;49.79779815673828;24.01679801940918;вул. Скорини
366;49.801410856771;24.017573773861;вул. Стрийська - вул. Наукова
367;49.802592204798;24.018370687962;вул. Стрийська - вул. Хуторівка
368;49.8052961205;24.018210470676;вул. Івана Рубчака
369;49.805502498625;24.017763316631;вул. Івана Рубчака
370;49.807373046875;24.00754165649414;Тролейбусне депо
371;49.807940317305;24.007458886687;Тролейбусне депо
372;49.810439676727;24.001221776009;вул. Володимира Великого
373;49.810513282465;23.998134195805;Універмаг "Океан"
374;49.810869678415;23.99675577879;Універмаг "Океан"
375;49.811158000761;23.991672277451;вул. Василя Симоненка
376;49.8114967346191;23.9902896881104;вул. Василя Симоненка
377;49.812325936223;23.982136011124;вул. Виговського
378;49.812100682417;23.982124872574;вул. Виговського
379;49.816687477441;23.972498476505;вул. Кульчицької
380;49.81734848022461;23.971471786499023;вул. Кульчицької
381;49.82001495361328;23.96939468383789;вул. Любінська
382;49.819630022786;23.970019638538;вул. Любінська
384;49.822841213089;23.965338170528;вул. Кричевського
385;49.822563325789;23.965689897537;вул. Кричевського
386;49.82405090332031;23.95569610595703;вул. Сигнівка
387;49.824302673339844;23.956087112426758;вул. Сигнівка
388;49.826970993844;23.954443092465;вул. Ряшівська
389;49.826836632246;23.955012727327;вул. Ряшівська
571;49.809971107753;24.004592180252;вул. Володимира Великого
572;49.80847642065;24.019370913506;Автобусний завод
573;49.807843816626;24.0189889257;Автобусний завод
574;49.815135495584;24.020076572895;Податкова
575;49.814954934321;24.019663274288;Податкова
576;49.820243955525;24.020444363866;Дитяча залізниця
577;49.820557008064;24.020172894001;Дитяча залізниця
578;49.824141079585;24.020608663559;Парк Культури
579;49.8251609802246;24.0229797363281;Парк Культури
580;49.829432412638;24.032263261227;Стрийський ринок
581;49.82982635498047;24.032480239868164;Стрийський ринок
582;49.833832468585;24.035482979927;пл. Петрушевича
583;49.834092836029;24.035320962589;вул. Шота Руставелі
584;49.833765862817;24.037162493294;вул. Шота Руставелі
815;49.822089688674;23.936326563358;станція Скнилів
816;49.824782625278;23.939415365681;вул. Авіаційна
817;49.826840509359;23.946539402008;Церква Вознесіння Господнього
818;49.827030181884766;23.949111938476562;Церква Вознесіння Господнього
819;49.82877731323242;23.957286834716797;вул. Вільхова
820;49.828773498535156;23.958370208740234;вул. Вільхова
821;49.823219856899;23.960576609752;вул. Патона
822;49.822972112979;23.961421333343;вул. Патона
823;49.82981872558594;23.962953567504883;вул. Вівсяна
824;49.829870109606;23.964615830034;вул. Вівсяна
825;49.83060836791992;23.96739387512207;Мотозавод
826;49.830650329589844;23.96915054321289;Мотозавод
827;49.832549339788;23.97852730751;вул. Окружна
828;49.832481518353;23.979159899831;вул. Окружна
829;49.833426805763;23.984559237957;вул. Народна
830;49.833770507965;23.98523678885;вул. Народна
831;49.835323333740234;23.994918823242188;вул. Городоцька-Смаль-Стоцького
832;49.835601806640625;23.994720458984375;вул. Городоцька-Смаль-Стоцького
834;49.83646774291992;23.999391555786133;Привокзальний ринок
835;49.83644104003906;24.005630493164062;пл. Кропивницького
977;49.81688690185547;23.955738067626953;Аеропорт
978;49.81890869140625;23.96359634399414;вул. Кричевського
979;49.819264984449;23.965151906013;вул. Кричевського
980;49.820642380104;23.968297932107;вул. Виговського
981;49.820834721943;23.969820141792;вул. Виговського
982;49.82263946533203;23.974496841430664;вул. Караджича
983;49.8221549987793;23.97268295288086;вул. Караджича
984;49.823981021499;23.976722224318;Будинок Меблів
985;49.824895092365;23.979120850563;Будинок Меблів
1428;49.830790408064;24.043196650786;вул. Йосипа Сліпого
1429;49.82629152268;24.04350046988;вул. Водогінна
1430;49.825885458556;24.04608464241;вул. Водогінна
1431;49.823897175528;24.05163782835;Гуртожиток
1432;49.823476128145;24.052248591554;стадіон "Україна"
1433;49.822357177734375;24.05446434020996;вул. Липова алея
1434;49.81763458252;24.059993684292;вул. Дністерська
1435;49.817752838134766;24.05940055847168;вул. Дністерська
1436;49.8136163287;24.060372650624;вул. Бузкова
1437;49.81362533569336;24.060068130493164;вул. Бузкова
1438;49.80752944946289;24.0613956451416;Автостанція №5
1439;49.80607976843;24.062312424183;вул. Пасічна
1440;49.801524028763;24.065898656845;вул. Зубрівська
1442;49.798152923583984;24.071752548217773;вул. Сихівська
